"component","component_label","node","query","term","estimate","se","lower","upper","sign","units","visual_magnitude","scale","n","fraction","n_eff","subject_set_id","gap"
"total","Total","group16","primary","(Intercept)",0.374675873038162,0.029323544858541,0.314015498802077,0.435336247274248,"positive","signed transported evidence coefficient",0.225869039454816,NA,24,1,24,"set1",FALSE
"total","Total","group17","primary","(Intercept)",0.533306635720071,0.0417385857516965,0.446963792656696,0.619649478783446,"positive","signed transported evidence coefficient",0.321497769707479,NA,24,1,24,"set1",FALSE
"total","Total","group18","primary","(Intercept)",0.538258741158168,0.0421261561729803,0.451114147593231,0.625403334723105,"positive","signed transported evidence coefficient",0.324483089497388,NA,24,1,24,"set1",FALSE
"total","Total","group19","primary","(Intercept)",0.623377305374503,0.0487878555662531,0.522451936661348,0.724302674087657,"positive","signed transported evidence coefficient",0.375795836655138,NA,24,1,24,"set1",FALSE
"total","Total","group20","primary","(Intercept)",0.557857301182162,0.043660013288909,0.467539682421064,0.648174919943261,"positive","signed transported evidence coefficient",0.336297855928495,NA,24,1,24,"set1",FALSE
"total","Total","group21","primary","(Intercept)",0.623377305374503,0.0487878555662531,0.522451936661348,0.724302674087657,"positive","signed transported evidence coefficient",0.375795836655138,NA,24,1,24,"set1",FALSE
"total","Total","group22","primary","(Intercept)",0.538258741158168,0.0421261561729803,0.451114147593231,0.625403334723105,"positive","signed transported evidence coefficient",0.324483089497388,NA,24,1,24,"set1",FALSE
"total","Total","group23","primary","(Intercept)",0.533306635720071,0.0417385857516965,0.446963792656696,0.619649478783446,"positive","signed transported evidence coefficient",0.321497769707479,NA,24,1,24,"set1",FALSE
"total","Total","group24","primary","(Intercept)",0.374675873038162,0.029323544858541,0.314015498802077,0.435336247274248,"positive","signed transported evidence coefficient",0.225869039454816,NA,24,1,24,"set1",FALSE
"total","Total","group25","primary","(Intercept)",0.359340687852977,0.0281233555134267,0.301163094439606,0.417518281266348,"positive","signed transported evidence coefficient",0.216624399495609,NA,24,1,24,"set1",FALSE
"total","Total","group26","primary","(Intercept)",0.200709925171068,0.0157083146202712,0.168214800584988,0.233205049757149,"positive","signed transported evidence coefficient",0.120995669242945,NA,24,1,24,"set1",FALSE
"total","Total","group27","primary","(Intercept)",0.360767838045332,0.028235049662148,0.30235918768117,0.419176488409494,"positive","signed transported evidence coefficient",0.217484740569858,NA,24,1,24,"set1",FALSE
"total","Total","group28","primary","(Intercept)",0.431552562689861,0.0337749287890911,0.361683799208947,0.501421326170776,"positive","signed transported evidence coefficient",0.260156497451052,NA,24,1,24,"set1",FALSE
"total","Total","group29","primary","(Intercept)",0.4325078099973,0.033849690040846,0.362484391083978,0.502531228910622,"positive","signed transported evidence coefficient",0.260732357300322,NA,24,1,24,"set1",FALSE
"total","Total","group30","primary","(Intercept)",0.472720474259717,0.0369968845874784,0.396186587396035,0.5492543611234,"positive","signed transported evidence coefficient",0.284974099308477,NA,24,1,24,"set1",FALSE
"total","Total","group31","primary","(Intercept)",0.484419653565528,0.0379125064192239,0.405991658631339,0.562847648499717,"positive","signed transported evidence coefficient",0.292026814955166,NA,24,1,24,"set1",FALSE
"total","Total","group32","primary","(Intercept)",0.484419653565528,0.0379125064192239,0.405991658631339,0.562847648499717,"positive","signed transported evidence coefficient",0.292026814955166,NA,24,1,24,"set1",FALSE
"total","Total","group33","primary","(Intercept)",0.484419653565528,0.0379125064192239,0.405991658631339,0.562847648499717,"positive","signed transported evidence coefficient",0.292026814955166,NA,24,1,24,"set1",FALSE
"total","Total","group34","primary","(Intercept)",0.484419653565528,0.0379125064192239,0.405991658631339,0.562847648499717,"positive","signed transported evidence coefficient",0.292026814955166,NA,24,1,24,"set1",FALSE
"total","Total","group35","primary","(Intercept)",0.484419653565528,0.0379125064192239,0.405991658631339,0.562847648499717,"positive","signed transported evidence coefficient",0.292026814955166,NA,24,1,24,"set1",FALSE
"total","Total","group36","primary","(Intercept)",0.472720474259717,0.0369968845874784,0.396186587396035,0.5492543611234,"positive","signed transported evidence coefficient",0.284974099308477,NA,24,1,24,"set1",FALSE
"total","Total","group37","primary","(Intercept)",0.4325078099973,0.033849690040846,0.362484391083978,0.502531228910622,"positive","signed transported evidence coefficient",0.260732357300322,NA,24,1,24,"set1",FALSE
"total","Total","group38","primary","(Intercept)",0.431552562689861,0.0337749287890911,0.361683799208947,0.501421326170776,"positive","signed transported evidence coefficient",0.260156497451052,NA,24,1,24,"set1",FALSE
"total","Total","group39","primary","(Intercept)",0.360767838045332,0.028235049662148,0.30235918768117,0.419176488409494,"positive","signed transported evidence coefficient",0.217484740569858,NA,24,1,24,"set1",FALSE
"total","Total","group40","primary","(Intercept)",0.447476587524005,0.0350212029427113,0.375029709530535,0.519923465517474,"positive","signed transported evidence coefficient",0.269756112618096,NA,24,1,24,"set1",FALSE
"total","Total","group41","primary","(Intercept)",0.447476587524005,0.0350212029427113,0.375029709530535,0.519923465517474,"positive","signed transported evidence coefficient",0.269756112618096,NA,24,1,24,"set1",FALSE
"total","Total","group42","primary","(Intercept)",0.447476587524005,0.0350212029427113,0.375029709530535,0.519923465517474,"positive","signed transported evidence coefficient",0.269756112618096,NA,24,1,24,"set1",FALSE
"total","Total","group43","primary","(Intercept)",0.447476587524005,0.0350212029427113,0.375029709530535,0.519923465517474,"positive","signed transported evidence coefficient",0.269756112618096,NA,24,1,24,"set1",FALSE
"total","Total","group44","primary","(Intercept)",0.447476587524005,0.0350212029427113,0.375029709530535,0.519923465517474,"positive","signed transported evidence coefficient",0.269756112618096,NA,24,1,24,"set1",FALSE
"total","Total","group45","primary","(Intercept)",0.447476587524005,0.0350212029427113,0.375029709530535,0.519923465517474,"positive","signed transported evidence coefficient",0.269756112618096,NA,24,1,24,"set1",FALSE
"total","Total","group46","primary","(Intercept)",0.447476587524005,0.0350212029427113,0.375029709530535,0.519923465517474,"positive","signed transported evidence coefficient",0.269756112618096,NA,24,1,24,"set1",FALSE
"total","Total","group47","primary","(Intercept)",0.447476587524005,0.0350212029427113,0.375029709530535,0.519923465517474,"positive","signed transported evidence coefficient",0.269756112618096,NA,24,1,24,"set1",FALSE
"total","Total","group48","primary","(Intercept)",0.447476587524005,0.0350212029427113,0.375029709530535,0.519923465517474,"positive","signed transported evidence coefficient",0.269756112618096,NA,24,1,24,"set1",FALSE
"total","Total","group49","primary","(Intercept)",0.447476587524005,0.0350212029427113,0.375029709530535,0.519923465517474,"positive","signed transported evidence coefficient",0.269756112618096,NA,24,1,24,"set1",FALSE
"total","Total","group50","primary","(Intercept)",0.447476587524005,0.0350212029427113,0.375029709530535,0.519923465517474,"positive","signed transported evidence coefficient",0.269756112618096,NA,24,1,24,"set1",FALSE
"total","Total","group51","primary","(Intercept)",0.447476587524005,0.0350212029427113,0.375029709530535,0.519923465517474,"positive","signed transported evidence coefficient",0.269756112618096,NA,24,1,24,"set1",FALSE
"total","Total","group52","primary","(Intercept)",0.447476587524005,0.0350212029427113,0.375029709530535,0.519923465517474,"positive","signed transported evidence coefficient",0.269756112618096,NA,24,1,24,"set1",FALSE
"total","Total","<sink>","primary","(Intercept)",0,0,NA,NA,"zero","signed transported evidence coefficient",0,NA,24,1,24,"set1",TRUE
"coherent","Coherent component","group1","primary","(Intercept)",0.105292613752297,0.00824059648570972,0.0882456411177408,0.122339586386853,"positive","signed transported evidence coefficient",0.0634744408202016,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group2","primary","(Intercept)",0.402126642624176,0.0314719454663243,0.337021963120571,0.467231322127781,"positive","signed transported evidence coefficient",0.242417420081547,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group3","primary","(Intercept)",0.0105077203818225,0.000822373769303243,0.00880651062534431,0.0122089301383006,"positive","signed transported evidence coefficient",0.00633445834197147,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group4","primary","(Intercept)",0.849416695734351,0.0664785495233181,0.71189533833332,0.986938053135383,"positive","signed transported evidence coefficient",0.512061082574325,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group5","primary","(Intercept)",0.0445689489428726,0.00348813379155384,0.0373531944288149,0.0517847034569303,"positive","signed transported evidence coefficient",0.0268678781091731,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group6","primary","(Intercept)",1.42767686413718,0.1117353680384,1.19653464469157,1.65881908358279,"positive","signed transported evidence coefficient",0.860658572273971,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group7","primary","(Intercept)",0.138016666666667,0.010801704106029,0.115671639262235,0.160361694071098,"positive","signed transported evidence coefficient",0.0832017596328664,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group8","primary","(Intercept)",1.42767686413718,0.1117353680384,1.19653464469157,1.65881908358279,"positive","signed transported evidence coefficient",0.860658572273971,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group9","primary","(Intercept)",0.0445689489428726,0.00348813379155384,0.0373531944288149,0.0517847034569303,"positive","signed transported evidence coefficient",0.0268678781091731,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group10","primary","(Intercept)",0.849416695734351,0.0664785495233181,0.71189533833332,0.986938053135383,"positive","signed transported evidence coefficient",0.512061082574325,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group11","primary","(Intercept)",0.0105077203818225,0.000822373769303243,0.00880651062534431,0.0122089301383006,"positive","signed transported evidence coefficient",0.00633445834197147,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group12","primary","(Intercept)",0.402126642624176,0.0314719454663243,0.337021963120571,0.467231322127781,"positive","signed transported evidence coefficient",0.242417420081547,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group13","primary","(Intercept)",0.105292613752297,0.00824059648570972,0.0882456411177408,0.122339586386853,"positive","signed transported evidence coefficient",0.0634744408202016,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group14","primary","(Intercept)",0.0364281947997041,0.00285100771411559,0.0305304359945355,0.0423259536048727,"positive","signed transported evidence coefficient",0.0219603181324783,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group15","primary","(Intercept)",0.103354418235693,0.00808890600530893,0.0866212412678465,0.12008759520354,"positive","signed transported evidence coefficient",0.0623060219517513,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group16","primary","(Intercept)",0.118632102461867,0.0092845951088216,0.0994254541303436,0.13783875079339,"positive","signed transported evidence coefficient",0.071515998119361,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group17","primary","(Intercept)",0.206138543390235,0.0161331787263553,0.17276452043771,0.239512566342761,"positive","signed transported evidence coefficient",0.124268249280692,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group18","primary","(Intercept)",0.205946264056615,0.0161181302215795,0.172603371308019,0.23928915680521,"positive","signed transported evidence coefficient",0.124152335896572,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group19","primary","(Intercept)",0.40880962291815,0.031994980672328,0.342622962655129,0.474996283181172,"positive","signed transported evidence coefficient",0.246446177864789,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group20","primary","(Intercept)",0.282097647124854,0.0220780242476729,0.23642577424189,0.327769520007819,"positive","signed transported evidence coefficient",0.170059321065663,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group21","primary","(Intercept)",0.40880962291815,0.031994980672328,0.342622962655129,0.474996283181172,"positive","signed transported evidence coefficient",0.246446177864789,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group22","primary","(Intercept)",0.205946264056615,0.0161181302215795,0.172603371308019,0.23928915680521,"positive","signed transported evidence coefficient",0.124152335896572,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group23","primary","(Intercept)",0.206138543390235,0.0161331787263553,0.17276452043771,0.239512566342761,"positive","signed transported evidence coefficient",0.124268249280692,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group24","primary","(Intercept)",0.118632102461867,0.00928459510882161,0.0994254541303435,0.13783875079339,"positive","signed transported evidence coefficient",0.071515998119361,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group25","primary","(Intercept)",0.103354418235693,0.00808890600530893,0.0866212412678465,0.12008759520354,"positive","signed transported evidence coefficient",0.0623060219517513,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group26","primary","(Intercept)",0.0364281947997041,0.00285100771411559,0.0305304359945355,0.0423259536048727,"positive","signed transported evidence coefficient",0.0219603181324783,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group27","primary","(Intercept)",0.149891998645425,0.0117311123093528,0.125624343888002,0.174159653402849,"positive","signed transported evidence coefficient",0.0903606668918242,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group28","primary","(Intercept)",0.203321412455711,0.0159126994500649,0.170403485636023,0.236239339275399,"positive","signed transported evidence coefficient",0.122569974307607,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group29","primary","(Intercept)",0.175615736876453,0.0137443489392708,0.147183384842976,0.204048088909931,"positive","signed transported evidence coefficient",0.105867926535515,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group30","primary","(Intercept)",0.212107036013935,0.0166002954365127,0.177766708523989,0.246447363503882,"positive","signed transported evidence coefficient",0.127866286392014,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group31","primary","(Intercept)",0.163459711341277,0.0127929726011258,0.136995431210075,0.189923991472478,"positive","signed transported evidence coefficient",0.0985398063954204,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group32","primary","(Intercept)",0.163459711341277,0.0127929726011258,0.136995431210075,0.189923991472478,"positive","signed transported evidence coefficient",0.0985398063954204,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group33","primary","(Intercept)",0.163459711341277,0.0127929726011258,0.136995431210075,0.189923991472478,"positive","signed transported evidence coefficient",0.0985398063954204,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group34","primary","(Intercept)",0.163459711341277,0.0127929726011258,0.136995431210075,0.189923991472478,"positive","signed transported evidence coefficient",0.0985398063954204,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group35","primary","(Intercept)",0.163459711341277,0.0127929726011258,0.136995431210075,0.189923991472478,"positive","signed transported evidence coefficient",0.0985398063954204,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group36","primary","(Intercept)",0.212107036013935,0.0166002954365127,0.177766708523989,0.246447363503882,"positive","signed transported evidence coefficient",0.127866286392014,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group37","primary","(Intercept)",0.175615736876453,0.0137443489392708,0.147183384842976,0.204048088909931,"positive","signed transported evidence coefficient",0.105867926535515,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group38","primary","(Intercept)",0.203321412455711,0.0159126994500649,0.170403485636023,0.236239339275399,"positive","signed transported evidence coefficient",0.122569974307607,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group39","primary","(Intercept)",0.149891998645425,0.0117311123093528,0.125624343888002,0.174159653402849,"positive","signed transported evidence coefficient",0.0903606668918242,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group40","primary","(Intercept)",0.175174198910543,0.0137097925152205,0.146813332286666,0.20353506553442,"positive","signed transported evidence coefficient",0.105601750452614,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group41","primary","(Intercept)",0.175174198910543,0.0137097925152205,0.146813332286666,0.20353506553442,"positive","signed transported evidence coefficient",0.105601750452614,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group42","primary","(Intercept)",0.175174198910543,0.0137097925152205,0.146813332286666,0.20353506553442,"positive","signed transported evidence coefficient",0.105601750452614,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group43","primary","(Intercept)",0.175174198910543,0.0137097925152205,0.146813332286666,0.20353506553442,"positive","signed transported evidence coefficient",0.105601750452614,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group44","primary","(Intercept)",0.175174198910543,0.0137097925152205,0.146813332286666,0.20353506553442,"positive","signed transported evidence coefficient",0.105601750452614,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group45","primary","(Intercept)",0.175174198910543,0.0137097925152205,0.146813332286666,0.20353506553442,"positive","signed transported evidence coefficient",0.105601750452614,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group46","primary","(Intercept)",0.175174198910543,0.0137097925152205,0.146813332286666,0.20353506553442,"positive","signed transported evidence coefficient",0.105601750452614,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group47","primary","(Intercept)",0.175174198910543,0.0137097925152205,0.146813332286666,0.20353506553442,"positive","signed transported evidence coefficient",0.105601750452614,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group48","primary","(Intercept)",0.175174198910543,0.0137097925152205,0.146813332286666,0.20353506553442,"positive","signed transported evidence coefficient",0.105601750452614,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group49","primary","(Intercept)",0.175174198910543,0.0137097925152205,0.146813332286666,0.20353506553442,"positive","signed transported evidence coefficient",0.105601750452614,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group50","primary","(Intercept)",0.175174198910543,0.0137097925152205,0.146813332286666,0.20353506553442,"positive","signed transported evidence coefficient",0.105601750452614,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group51","primary","(Intercept)",0.175174198910543,0.0137097925152205,0.146813332286666,0.20353506553442,"positive","signed transported evidence coefficient",0.105601750452614,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","group52","primary","(Intercept)",0.175174198910543,0.0137097925152205,0.146813332286666,0.20353506553442,"positive","signed transported evidence coefficient",0.105601750452614,NA,24,1,24,"set1",FALSE
"coherent","Coherent component","<sink>","primary","(Intercept)",0,0,NA,NA,"zero","signed transported evidence coefficient",0,NA,24,1,24,"set1",TRUE
"configuration","Configurational component","group1","primary","(Intercept)",0,0,NA,NA,"zero","signed transported evidence coefficient",0,NA,24,1,24,"set1",TRUE
"configuration","Configurational component","group2","primary","(Intercept)",0,0,NA,NA,"zero","signed transported evidence coefficient",0,NA,24,1,24,"set1",TRUE
"configuration","Configurational component","group3","primary","(Intercept)",0,0,NA,NA,"zero","signed transported evidence coefficient",0,NA,24,1,24,"set1",TRUE
"configuration","Configurational component","group4","primary","(Intercept)",0,0,NA,NA,"zero","signed transported evidence coefficient",0,NA,24,1,24,"set1",TRUE
"configuration","Configurational component","group5","primary","(Intercept)",0,0,NA,NA,"zero","signed transported evidence coefficient",0,NA,24,1,24,"set1",TRUE
"configuration","Configurational component","group6","primary","(Intercept)",0,0,NA,NA,"zero","signed transported evidence coefficient",0,NA,24,1,24,"set1",TRUE
"configuration","Configurational component","group7","primary","(Intercept)",0,0,NA,NA,"zero","signed transported evidence coefficient",0,NA,24,1,24,"set1",TRUE
"configuration","Configurational component","group8","primary","(Intercept)",0,0,NA,NA,"zero","signed transported evidence coefficient",0,NA,24,1,24,"set1",TRUE
"configuration","Configurational component","group9","primary","(Intercept)",0,0,NA,NA,"zero","signed transported evidence coefficient",0,NA,24,1,24,"set1",TRUE
"configuration","Configurational component","group10","primary","(Intercept)",0,0,NA,NA,"zero","signed transported evidence coefficient",0,NA,24,1,24,"set1",TRUE
"configuration","Configurational component","group11","primary","(Intercept)",0,0,NA,NA,"zero","signed transported evidence coefficient",0,NA,24,1,24,"set1",TRUE
"configuration","Configurational component","group12","primary","(Intercept)",0,0,NA,NA,"zero","signed transported evidence coefficient",0,NA,24,1,24,"set1",TRUE
"configuration","Configurational component","group13","primary","(Intercept)",0,0,NA,NA,"zero","signed transported evidence coefficient",0,NA,24,1,24,"set1",TRUE
"configuration","Configurational component","group14","primary","(Intercept)",0.164281730371364,0.0128573069061556,0.137684364590452,0.190879096152276,"positive","signed transported evidence coefficient",0.0990353511104669,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group15","primary","(Intercept)",0.255986269617284,0.0200344495081178,0.21454185317176,0.297430686062808,"positive","signed transported evidence coefficient",0.154318377543857,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group16","primary","(Intercept)",0.256043770576296,0.0200389497497194,0.214590044671734,0.297497496480857,"positive","signed transported evidence coefficient",0.154353041335455,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group17","primary","(Intercept)",0.327168092329836,0.0256054070253413,0.274199272218986,0.380136912440685,"positive","signed transported evidence coefficient",0.197229520426787,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group18","primary","(Intercept)",0.332312477101553,0.0260080259514008,0.278510776285212,0.386114177917895,"positive","signed transported evidence coefficient",0.200330753600815,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group19","primary","(Intercept)",0.214567682456352,0.0167928748939251,0.179828974006219,0.249306390906486,"positive","signed transported evidence coefficient",0.129349658790349,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group20","primary","(Intercept)",0.275759654057308,0.0215819890412362,0.231113908179174,0.320405399935442,"positive","signed transported evidence coefficient",0.166238534862832,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group21","primary","(Intercept)",0.214567682456352,0.0167928748939251,0.179828974006219,0.249306390906485,"positive","signed transported evidence coefficient",0.129349658790349,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group22","primary","(Intercept)",0.332312477101553,0.0260080259514008,0.278510776285212,0.386114177917895,"positive","signed transported evidence coefficient",0.200330753600815,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group23","primary","(Intercept)",0.327168092329836,0.0256054070253413,0.274199272218986,0.380136912440685,"positive","signed transported evidence coefficient",0.197229520426787,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group24","primary","(Intercept)",0.256043770576296,0.0200389497497194,0.214590044671734,0.297497496480857,"positive","signed transported evidence coefficient",0.154353041335455,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group25","primary","(Intercept)",0.255986269617284,0.0200344495081178,0.21454185317176,0.297430686062808,"positive","signed transported evidence coefficient",0.154318377543857,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group26","primary","(Intercept)",0.164281730371364,0.0128573069061556,0.137684364590452,0.190879096152276,"positive","signed transported evidence coefficient",0.0990353511104669,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group27","primary","(Intercept)",0.210875839399907,0.0165039373527951,0.176734843793168,0.245016835006646,"positive","signed transported evidence coefficient",0.127124073678034,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group28","primary","(Intercept)",0.22823115023415,0.0178622293390262,0.191280313572923,0.265181986895377,"positive","signed transported evidence coefficient",0.137586523143444,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group29","primary","(Intercept)",0.256892073120846,0.0201053411015752,0.215301006241002,0.298483140000691,"positive","signed transported evidence coefficient",0.154864430764806,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group30","primary","(Intercept)",0.260613438245782,0.0203965891509658,0.218419878872046,0.302806997619518,"positive","signed transported evidence coefficient",0.157107812916462,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group31","primary","(Intercept)",0.320959942224252,0.0251195338180982,0.268996227421264,0.372923657027239,"positive","signed transported evidence coefficient",0.193487008559745,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group32","primary","(Intercept)",0.320959942224252,0.0251195338180982,0.268996227421264,0.372923657027239,"positive","signed transported evidence coefficient",0.193487008559745,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group33","primary","(Intercept)",0.320959942224252,0.0251195338180982,0.268996227421264,0.372923657027239,"positive","signed transported evidence coefficient",0.193487008559745,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group34","primary","(Intercept)",0.320959942224252,0.0251195338180982,0.268996227421264,0.372923657027239,"positive","signed transported evidence coefficient",0.193487008559745,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group35","primary","(Intercept)",0.320959942224252,0.0251195338180982,0.268996227421264,0.372923657027239,"positive","signed transported evidence coefficient",0.193487008559745,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group36","primary","(Intercept)",0.260613438245782,0.0203965891509658,0.218419878872046,0.302806997619518,"positive","signed transported evidence coefficient",0.157107812916462,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group37","primary","(Intercept)",0.256892073120846,0.0201053411015752,0.215301006241002,0.298483140000691,"positive","signed transported evidence coefficient",0.154864430764806,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group38","primary","(Intercept)",0.22823115023415,0.0178622293390262,0.191280313572923,0.265181986895377,"positive","signed transported evidence coefficient",0.137586523143444,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group39","primary","(Intercept)",0.210875839399907,0.0165039373527951,0.176734843793168,0.245016835006646,"positive","signed transported evidence coefficient",0.127124073678034,NA,24,1,24,"set1",FALSE
"configuration","Configurational component","group40","primary","(Intercept)",0.272302388613461,0.0213114104274908,0.228216377243869,0.316388399983054,"positive","signed transported evidence coefficient",0.164154362165482,NA,24,1,24,"set1",FALSE
