"frame","measurement","quantity","value"
"regions","roiA","rdm_coherent[cond4_houseB|cond6_toolB]",0.0117574019596933
"regions","roiA","rdm_configuration[cond4_houseB|cond6_toolB]",0.536854520405461
"regions","roiA","rdm_total[cond5_toolA|cond6_toolB]",0.0088698888203805
"regions","roiA","rdm_coherent[cond5_toolA|cond6_toolB]",-0.00121722340899586
"regions","roiA","rdm_configuration[cond5_toolA|cond6_toolB]",0.0100871122293764
"regions","roiB","rdm_total[cond1_faceA|cond2_faceB]",0.0864502169134829
"regions","roiB","rdm_coherent[cond1_faceA|cond2_faceB]",-0.0152294356903988
"regions","roiB","rdm_configuration[cond1_faceA|cond2_faceB]",0.101679652603882
"regions","roiB","rdm_total[cond1_faceA|cond3_houseA]",-0.0326753167867606
"regions","roiB","rdm_coherent[cond1_faceA|cond3_houseA]",-0.00343080853524078
"regions","roiB","rdm_configuration[cond1_faceA|cond3_houseA]",-0.0292445082515198
"regions","roiB","rdm_total[cond1_faceA|cond4_houseB]",0.0476450728830211
"regions","roiB","rdm_coherent[cond1_faceA|cond4_houseB]",-0.00591247556595932
"regions","roiB","rdm_configuration[cond1_faceA|cond4_houseB]",0.0535575484489804
"regions","roiB","rdm_total[cond1_faceA|cond5_toolA]",0.219160897855911
"regions","roiB","rdm_coherent[cond1_faceA|cond5_toolA]",0.0494897971519495
"regions","roiB","rdm_configuration[cond1_faceA|cond5_toolA]",0.169671100703962
"regions","roiB","rdm_total[cond1_faceA|cond6_toolB]",0.288678968416965
"regions","roiB","rdm_coherent[cond1_faceA|cond6_toolB]",0.0326558483481619
"regions","roiB","rdm_configuration[cond1_faceA|cond6_toolB]",0.256023120068803
"regions","roiB","rdm_total[cond2_faceB|cond3_houseA]",0.0332022880079941
"regions","roiB","rdm_coherent[cond2_faceB|cond3_houseA]",-0.00561196349262592
"regions","roiB","rdm_configuration[cond2_faceB|cond3_houseA]",0.03881425150062
"regions","roiB","rdm_total[cond2_faceB|cond4_houseB]",-0.03334700220447
"regions","roiB","rdm_coherent[cond2_faceB|cond4_houseB]",-0.00112903961144901
"regions","roiB","rdm_configuration[cond2_faceB|cond4_houseB]",-0.032217962593021
"regions","roiB","rdm_total[cond2_faceB|cond5_toolA]",0.192521836593963
"regions","roiB","rdm_coherent[cond2_faceB|cond5_toolA]",0.0186900592615299
"regions","roiB","rdm_configuration[cond2_faceB|cond5_toolA]",0.173831777332433
"regions","roiB","rdm_total[cond2_faceB|cond6_toolB]",0.162482586676552
"regions","roiB","rdm_coherent[cond2_faceB|cond6_toolB]",0.0232559733489872
"regions","roiB","rdm_configuration[cond2_faceB|cond6_toolB]",0.139226613327565
"regions","roiB","rdm_total[cond3_houseA|cond4_houseB]",0.0224541440920421
"regions","roiB","rdm_coherent[cond3_houseA|cond4_houseB]",0.0102488962787217
"regions","roiB","rdm_configuration[cond3_houseA|cond4_houseB]",0.0122052478133204
"regions","roiB","rdm_total[cond3_houseA|cond5_toolA]",0.0902691090781157
"regions","roiB","rdm_coherent[cond3_houseA|cond5_toolA]",0.0659949421535092
"regions","roiB","rdm_configuration[cond3_houseA|cond5_toolA]",0.0242741669246065
"regions","roiB","rdm_total[cond3_houseA|cond6_toolB]",0.144853617266927
"regions","roiB","rdm_coherent[cond3_houseA|cond6_toolB]",0.0470304795159193
"regions","roiB","rdm_configuration[cond3_houseA|cond6_toolB]",0.097823137751008
"regions","roiB","rdm_total[cond4_houseB|cond5_toolA]",0.165541587146071
"regions","roiB","rdm_coherent[cond4_houseB|cond5_toolA]",0.00916653447913092
"regions","roiB","rdm_configuration[cond4_houseB|cond5_toolA]",0.15637505266694
"regions","roiB","rdm_total[cond4_houseB|cond6_toolB]",0.102129359350829
"regions","roiB","rdm_coherent[cond4_houseB|cond6_toolB]",0.00722619771195159
"regions","roiB","rdm_configuration[cond4_houseB|cond6_toolB]",0.0949031616388775
"regions","roiB","rdm_total[cond5_toolA|cond6_toolB]",0.0334645613149987
"regions","roiB","rdm_coherent[cond5_toolA|cond6_toolB]",-0.00891384597079667
"regions","roiB","rdm_configuration[cond5_toolA|cond6_toolB]",0.0423784072857954
"regions","roiC","rdm_total[cond1_faceA|cond2_faceB]",-0.0173551596521373
"regions","roiC","rdm_coherent[cond1_faceA|cond2_faceB]",0.0272299704968095
"regions","roiC","rdm_configuration[cond1_faceA|cond2_faceB]",-0.0445851301489469
"regions","roiC","rdm_total[cond1_faceA|cond3_houseA]",0.0423761244033525
"regions","roiC","rdm_coherent[cond1_faceA|cond3_houseA]",0.000634771744858136
"regions","roiC","rdm_configuration[cond1_faceA|cond3_houseA]",0.0417413526584944
"regions","roiC","rdm_total[cond1_faceA|cond4_houseB]",-0.0207503393107774
"regions","roiC","rdm_coherent[cond1_faceA|cond4_houseB]",-0.00540357180957478
"regions","roiC","rdm_configuration[cond1_faceA|cond4_houseB]",-0.0153467675012026
"regions","roiC","rdm_total[cond1_faceA|cond5_toolA]",0.0228121592740867
"regions","roiC","rdm_coherent[cond1_faceA|cond5_toolA]",0.00558161956967435
"regions","roiC","rdm_configuration[cond1_faceA|cond5_toolA]",0.0172305397044123
"regions","roiC","rdm_total[cond1_faceA|cond6_toolB]",-0.029789412608706
"regions","roiC","rdm_coherent[cond1_faceA|cond6_toolB]",0.0255834515762507
"regions","roiC","rdm_configuration[cond1_faceA|cond6_toolB]",-0.0553728641849567
"regions","roiC","rdm_total[cond2_faceB|cond3_houseA]",0.0158370725651183
"regions","roiC","rdm_coherent[cond2_faceB|cond3_houseA]",0.00668733847630894
"regions","roiC","rdm_configuration[cond2_faceB|cond3_houseA]",0.0091497340888094
"regions","roiC","rdm_total[cond2_faceB|cond4_houseB]",0.0474403859605992
"regions","roiC","rdm_coherent[cond2_faceB|cond4_houseB]",0.033374851392579
"regions","roiC","rdm_configuration[cond2_faceB|cond4_houseB]",0.0140655345680203
"regions","roiC","rdm_total[cond2_faceB|cond5_toolA]",-0.0099410832479009
"regions","roiC","rdm_coherent[cond2_faceB|cond5_toolA]",0.00442679682472435
"regions","roiC","rdm_configuration[cond2_faceB|cond5_toolA]",-0.0143678800726253
"regions","roiC","rdm_total[cond2_faceB|cond6_toolB]",0.0310324439932757
"regions","roiC","rdm_coherent[cond2_faceB|cond6_toolB]",-0.00315694411248342
"regions","roiC","rdm_configuration[cond2_faceB|cond6_toolB]",0.0341893881057591
"regions","roiC","rdm_total[cond3_houseA|cond4_houseB]",0.00876093070256252
"regions","roiC","rdm_coherent[cond3_houseA|cond4_houseB]",-0.00442624674649344
"regions","roiC","rdm_configuration[cond3_houseA|cond4_houseB]",0.013187177449056
"regions","roiC","rdm_total[cond3_houseA|cond5_toolA]",0.000180659258863212
"regions","roiC","rdm_coherent[cond3_houseA|cond5_toolA]",-0.0046005472936309
"regions","roiC","rdm_configuration[cond3_houseA|cond5_toolA]",0.00478120655249411
"regions","roiC","rdm_total[cond3_houseA|cond6_toolB]",-0.00217543998146082
"regions","roiC","rdm_coherent[cond3_houseA|cond6_toolB]",0.00560259204247729
"regions","roiC","rdm_configuration[cond3_houseA|cond6_toolB]",-0.00777803202393811
"regions","roiC","rdm_total[cond4_houseB|cond5_toolA]",0.113269040753047
"regions","roiC","rdm_coherent[cond4_houseB|cond5_toolA]",0.0121518492998536
"regions","roiC","rdm_configuration[cond4_houseB|cond5_toolA]",0.101117191453193
"regions","roiC","rdm_total[cond4_houseB|cond6_toolB]",0.06069250528122
"regions","roiC","rdm_coherent[cond4_houseB|cond6_toolB]",0.0345576086669089
"regions","roiC","rdm_configuration[cond4_houseB|cond6_toolB]",0.026134896614311
"regions","roiC","rdm_total[cond5_toolA|cond6_toolB]",0.00831489695804844
"regions","roiC","rdm_coherent[cond5_toolA|cond6_toolB]",0.00283625616761809
"regions","roiC","rdm_configuration[cond5_toolA|cond6_toolB]",0.00547864079043034
"whole","whole_brain","rsa[(Intercept)]",0.01045537475328
"whole","whole_brain","rsa[category]",0.117308067384136
"whole","whole_brain","rsa[animacy]",0.123642802368297
"regions","roiA","rsa[(Intercept)]",0.00391080120128354
"regions","roiA","rsa[category]",0.45364394483809
"regions","roiA","rsa[animacy]",0.301506446142703
"regions","roiB","rsa[(Intercept)]",0.0474563074401746
"regions","roiB","rsa[category]",0.0782421107703111
"regions","roiB","rsa[animacy]",-0.0159897517800887
"regions","roiC","rsa[(Intercept)]",-9.31106638420998e-05
"regions","roiC","rsa[category]",0.0430848019917593
"regions","roiC","rsa[animacy]",-0.0306145224492862
"whole","whole_brain","rsa[category] SE (plugin)",0.0266969397581799
"whole","whole_brain","rdm SE (plugin)[cond1_faceA|cond2_faceB]",0.0293935074716351
"whole","whole_brain","rdm SE (plugin)[cond1_faceA|cond3_houseA]",0.0493091183858747
"whole","whole_brain","rdm SE (plugin)[cond1_faceA|cond4_houseB]",0.0473125134485618
"whole","whole_brain","rdm SE (plugin)[cond1_faceA|cond5_toolA]",0.0550006042632117
"whole","whole_brain","rdm SE (plugin)[cond1_faceA|cond6_toolB]",0.0541024502469382
"whole","whole_brain","rdm SE (plugin)[cond2_faceB|cond3_houseA]",0.0448083171418693
"whole","whole_brain","rdm SE (plugin)[cond2_faceB|cond4_houseB]",0.0411258045137792
"whole","whole_brain","rdm SE (plugin)[cond2_faceB|cond5_toolA]",0.048319660538655
"whole","whole_brain","rdm SE (plugin)[cond2_faceB|cond6_toolB]",0.0465202298568362
"whole","whole_brain","rdm SE (plugin)[cond3_houseA|cond4_houseB]",0.0268520741840027
"whole","whole_brain","rdm SE (plugin)[cond3_houseA|cond5_toolA]",0.0353702827652375
"whole","whole_brain","rdm SE (plugin)[cond3_houseA|cond6_toolB]",0.0384016094273232
"whole","whole_brain","rdm SE (plugin)[cond4_houseB|cond5_toolA]",0.0429442693672824
"whole","whole_brain","rdm SE (plugin)[cond4_houseB|cond6_toolB]",0.0434497431610176
"whole","whole_brain","rdm SE (plugin)[cond5_toolA|cond6_toolB]",0.0298766133273153
